Theoretical	Series	Bin
-2632	-3412.549	1
-2515	-2805.543	2
-2352	-2486.951	2
-2193	-2260.223	3
-1908	-2080.235	4
-1801	-1928.863	4
-1717	-1796.908	5
-1698	-1679.023	5
-1653	-1571.813	5
-1562	-1472.977	6
-1545	-1380.881	6
-1505	-1294.316	7
-1371	-1212.364	7
-1356	-1134.307	7
-1071	-1059.573	8
-1063	-987.6968	8
-1044	-918.2945	8
-1041	-851.0437	8
-1029	-785.6708	9
-975	-721.9408	9
-954	-659.6489	9
-917	-598.6153	10
-893	-538.6802	10
-876	-479.7002	10
-814	-421.5453	10
-693	-364.0964	11
-524	-307.2434	11
-412	-250.8837	11
-376	-194.92	11
-98	-139.26	11
-50	-28.49697	12
-50	-28.49697	12
3	26.77822	12
91	82.09585	12
189	137.5413	13
334	193.2013	13
400	249.1649	13
526	305.5247	13
614	362.3776	13
694	419.8265	14
721	477.9815	14
740	536.9615	14
882	596.8965	14
962	657.9301	15
1043	720.222	15
1056	783.9521	15
1070	849.3249	15
1076	916.5757	16
1088	985.9781	16
1099	1057.854	17
1105	1132.588	17
1110	1210.645	17
1157	1292.597	17
1526	1379.162	18
1555	1471.259	18
1649	1570.094	18
1694	1677.304	19
1833	1795.189	19
1926	1927.145	20
2028	2078.517	20
2404	2258.504	21
2484	2485.232	22
2485	2803.824	23
3089	3410.83	24
